0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,16,30,23,16,22,30,25,29,17,22,24,18,31,27,29,18,24,24,30,31,29,24,29,28,31,29,27,21,22,19,18,17,27,16,25,26,25,23,26,21,23,16,17,23,25,19,27,31,30,27,19,26,16,28,21,30,26,17,22,26,30,29,23,22,31,28,27,29,23,28,17,16,27,26,23,25,27,22,17,24,28,21,26,30,26,29,18,27,29,30,18,17,30,27,19,31,30,26,23,16,22,16,17,20,23,22,19,20,22,18,27,24,25,27,21,26,20,27,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,17,26,20,23,23,18,28,28,24,29,31,26,23,20,29,21,25,18,31,18,18,20,26,23,22,17,27,24,26,17,21,29,16,28,17,23,29,18,21,30,17,26,17,23,20,19,27,26,24,23,30,27,22,17,26,30,28,26,25,16,19,21,21,28,25,24,25,26,30,30,27,25,28,18,16,19,16,16,27,23,29,23,20,28,21,28,28,19,27,16,30,26,17,24,18,23,17,24,20,25,29,27,16,16,23,31,18,21,20,16,30,30,19,23,18,18,30,16,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,19,24,29,31,22,16,22,21,19,29,16,22,22,30,30,22,21,16,31,18,26,22,18,20,23,24,31,23,18,26,25,21,20,18,18,18,27,22,27,19,21,20,30,22,22,31,20,19,26,22,19,19,31,29,26,20,26,23,22,25,31,27,21,21,22,22,18,23,22,17,26,21,30,23,22,17,20,24,29,20,22,19,17,17,26,20,25,28,17,22,27,18,22,31,27,31,24,16,31,26,19,24,31,25,24,19,17,29,21,21,25,20,29,27,19,17,21,16,21,28,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,31,29,29,20,28,21,25,20,30,16,24,22,28,22,20,26,26,31,19,29,21,30,17,17,19,23,22,31,20,18,27,24,24,31,30,21,19,30,31,16,18,20,29,28,26,18,21,20,30,29,18,20,21,20,17,23,24,23,31,24,16,31,24,21,28,30,24,17,25,25,18,26,23,21,17,26,20,24,21,21,26,30,23,22,19,27,16,17,17,27,17,20,24,17,28,26,30,23,30,17,20,28,16,28,27,23,23,31,29,18,22,31,24,28,19,23,28,26,30,17,23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,16,26,31,21,17,21,27,24,24,31,20,22,16,19,26,20,26,27,26,24,29,27,23,29,30,26,24,22,29,28,18,18,24,21,21,30,31,26,17,21,19,18,25,20,25,25,22,21,24,24,16,29,29,22,30,26,17,27,31,29,31,20,30,19,30,28,24,31,31,18,19,19,27,28,24,23,20,28,22,30,21,19,20,21,19,26,19,27,27,23,29,16,20,31,27,29,24,18,21,26,29,31,23,22,21,18,18,28,18,16,19,18,30,16,24,19,26,29,16,16,24,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,20,31,30,16,30,18,25,17,20,21,18,17,17,21,17,25,30,20,30,29,26,25,17,31,22,29,16,26,19,24,18,24,31,23,24,19,21,26,20,27,19,26,16,26,27,23,25,16,18,26,25,25,29,23,25,27,29,23,31,21,18,17,19,21,28,22,19,26,17,30,16,30,21,27,26,24,31,23,23,18,29,25,29,27,18,24,25,26,26,27,21,16,19,31,29,30,27,25,31,23,20,29,18,23,31,31,24,20,24,23,22,19,30,26,19,30,22,22,31,21,19,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,19,18,30,17,19,28,23,21,26,18,23,30,22,24,19,28,24,28,20,17,25,25,23,22,22,16,19,22,18,30,28,22,23,30,24,30,18,23,20,19,31,28,23,30,30,21,28,17,18,25,31,22,17,18,27,17,31,17,25,17,28,20,27,30,28,20,31,18,25,20,29,23,25,20,17,17,26,16,27,31,21,17,24,16,28,29,30,30,16,18,21,20,21,24,24,29,19,18,28,29,31,22,16,22,25,29,21,20,23,29,31,26,18,21,29,17,31,24,22,29,16,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,28,24,28,23,23,19,28,26,18,18,31,18,25,18,31,29,31,25,26,23,19,23,17,20,20,31,19,29,31,26,21,24,29,17,26,29,19,26,20,21,26,28,24,18,29,16,17,29,31,25,25,23,17,16,27,18,19,26,23,30,31,22,19,31,23,22,26,18,17,21,30,23,28,29,26,22,27,30,29,26,18,29,23,25,19,18,30,27,20,29,25,17,18,20,29,24,22,31,22,29,23,24,24,19,17,29,22,18,20,24,19,19,16,17,23,26,31,17,20,19,19,24,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,28,29,27,17,29,19,29,31,31,29,20,24,24,21,19,20,31,22,23,17,31,16,29,27,31,25,18,29,25,29,27,25,20,25,19,31,22,17,30,20,20,25,28,20,27,16,26,29,27,30,26,29,29,22,31,21,26,21,29,21,25,28,21,18,21,29,18,18,25,25,17,27,24,18,17,27,25,28,17,25,26,25,22,18,18,23,25,17,18,19,21,16,26,26,17,30,31,16,31,17,28,20,19,30,22,20,24,23,21,29,16,20,31,22,27,21,23,29,26,23,19,16,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,31,21,17,19,26,16,16,24,24,17,26,21,17,18,16,21,23,30,17,29,29,29,31,25,22,23,27,25,30,29,19,25,23,28,23,19,29,20,17,23,23,31,25,31,17,20,20,18,19,19,26,17,25,17,23,28,22,24,26,30,19,19,28,29,26,18,16,19,26,21,19,28,17,31,17,26,18,31,29,22,29,17,31,26,21,28,18,19,20,20,26,21,29,31,25,31,18,23,29,16,23,31,27,26,23,26,18,21,21,24,25,24,21,18,27,20,29,24,21,30,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,31,27,31,30,16,25,30,31,27,28,29,29,22,31,26,24,31,31,30,31,18,16,21,18,30,17,27,27,25,30,24,19,26,25,17,17,20,23,29,25,22,27,22,18,26,25,23,21,17,26,23,16,25,18,27,30,31,20,30,20,17,23,18,19,29,19,28,16,23,29,26,20,20,30,16,25,19,27,31,28,27,26,20,21,21,23,28,29,25,23,26,31,23,27,23,27,24,23,25,16,19,20,23,27,19,18,28,27,25,18,27,23,31,19,18,31,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,27,16,23,30,21,25,20,31,25,27,24,26,23,18,28,16,28,25,16,25,23,26,30,24,26,30,18,30,30,16,20,20,19,30,26,24,17,29,30,25,19,27,27,29,24,24,26,25,23,20,25,16,30,23,19,22,22,27,18,22,31,18,25,18,19,30,29,25,29,20,24,16,30,24,26,16,23,22,31,22,27,28,28,16,27,31,20,21,21,29,28,24,29,19,29,28,26,16,26,25,21,25,19,31,29,30,26,27,31,29,20,24,20,22,17,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,29,30,17,23,22,25,29,26,24,30,29,28,24,30,29,31,30,18,19,18,25,27,23,20,17,24,31,31,27,30,18,30,26,18,16,27,20,24,23,27,18,20,20,20,23,26,20,21,31,28,31,31,30,28,24,24,23,29,16,16,26,29,29,18,20,24,28,20,16,18,30,19,29,21,25,19,16,29,25,26,29,16,31,28,22,28,31,20,25,16,28,22,28,29,16,18,27,30,16,28,17,22,31,26,21,25,17,30,23,30,19,21,28,30,20,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,27,28,26,16,28,27,20,29,27,19,17,23,21,27,26,24,17,29,18,31,23,21,23,25,24,24,31,18,16,26,18,18,21,20,28,28,19,23,23,30,23,26,16,25,22,20,17,23,28,23,18,16,29,22,21,29,24,18,31,21,22,17,24,18,16,23,31,25,25,18,25,17,29,17,17,25,23,27,20,25,31,29,16,23,31,26,21,16,21,20,31,22,27,16,20,21,25,20,25,26,25,20,26,22,28,30,25,31,27,19,23,18,25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,31,30,28,31,31,21,17,23,22,26,21,26,31,26,26,21,21,18,27,19,26,19,23,29,23,18,16,21,18,16,19,21,29,29,23,18,21,18,22,22,29,27,31,20,22,28,28,31,19,18,31,17,29,26,21,22,25,26,17,30,20,30,30,22,17,30,20,19,31,17,30,29,16,20,17,30,29,17,31,19,27,23,28,19,29,29,18,26,25,21,24,23,22,21,20,23,25,18,30,17,16,29,23,20,30,19,27,29,24,26,16,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,28,19,23,16,25,30,20,17,27,31,31,22,23,22,24,31,17,22,25,20,20,18,22,20,24,25,18,17,24,16,28,30,19,22,21,23,31,27,21,19,16,29,21,30,16,18,24,30,22,19,25,28,27,26,28,17,28,25,22,28,25,30,21,30,22,17,24,30,26,26,30,22,18,18,25,30,19,18,30,18,28,18,19,20,31,22,29,23,29,16,21,25,19,20,16,16,21,29,31,24,26,30,20,28,24,28,23,20,24,18,30,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,20,17,16,30,16,27,22,30,30,24,26,19,26,21,18,30,30,16,20,27,22,30,16,22,20,24,29,28,18,18,18,19,28,27,30,25,28,26,20,23,24,28,31,28,28,22,20,27,23,24,23,24,22,28,28,20,31,27,19,30,17,30,31,27,22,22,24,18,26,28,24,27,28,24,23,22,24,17,19,25,22,30,27,27,23,27,23,17,24,16,30,22,23,22,25,17,21,22,23,17,28,20,19,28,18,29,20,20,21,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,22,31,17,22,23,21,26,31,16,16,26,24,28,29,30,26,25,21,29,18,25,22,30,30,28,20,22,17,23,21,23,30,27,31,22,22,17,22,19,20,21,31,22,21,19,18,20,29,26,28,22,25,26,28,31,29,29,31,22,21,16,27,24,22,19,22,25,30,23,24,21,17,20,16,31,28,23,17,20,25,16,22,16,16,22,31,23,25,22,17,22,25,27,31,25,30,16,23,30,30,18,16,26,27,24,19,22,20,30,28,24,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,23,30,19,17,17,18,27,31,28,29,17,31,22,29,22,31,27,17,16,26,21,25,19,18,30,30,20,25,16,25,19,23,22,17,18,20,27,25,27,19,28,26,16,22,29,18,24,25,29,23,24,19,24,30,20,16,26,25,25,18,30,30,19,31,23,28,24,25,26,19,16,27,24,23,24,27,30,31,16,20,31,24,18,25,18,27,31,19,25,22,23,25,18,23,23,31,18,25,18,28,31,18,19,16,28,29,30,24,24,30,27,27,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,18,22,22,22,27,19,20,22,30,30,24,30,30,17,31,18,16,18,28,18,21,27,19,24,28,30,20,25,31,25,19,19,24,18,29,27,17,19,26,23,16,27,24,23,18,19,16,28,28,19,21,18,27,21,20,21,22,31,19,22,29,31,16,17,24,17,24,30,28,31,24,17,30,16,26,27,17,17,27,31,29,24,22,31,23,22,24,20,26,25,23,27,28,18,21,29,16,19,20,19,29,27,28,29,26,19,27,26,23,29,30,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,24,25,16,21,28,19,29,29,29,30,28,21,29,24,18,24,27,18,28,29,30,20,19,21,25,30,30,27,20,23,16,17,27,17,19,29,26,28,19,29,26,23,17,21,26,16,16,30,21,24,27,26,18,19,28,20,21,22,30,21,29,22,27,18,31,30,26,30,17,18,29,24,21,30,16,21,23,31,29,25,17,16,26,26,16,27,16,20,18,24,23,27,24,16,30,19,28,23,31,29,21,17,30,23,25,31,30,17,23,22,31,29,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,21,31,26,18,18,24,21,17,20,17,24,29,19,19,27,31,30,28,31,17,27,29,23,19,21,20,30,28,28,22,25,23,30,26,30,25,24,23,28,22,19,24,28,31,29,23,22,16,21,30,28,22,24,30,18,16,24,24,25,27,16,25,28,20,24,24,21,26,17,16,22,19,26,27,23,24,28,28,25,25,20,31,24,18,17,30,24,28,24,27,20,18,24,17,23,19,21,29,30,22,31,17,25,19,18,26,28,21,31,26,31,22,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,19,22,24,18,30,30,23,16,25,19,23,23,16,24,20,18,20,29,21,16,24,22,28,23,30,31,25,30,28,28,28,31,30,28,26,24,17,24,20,16,20,28,21,16,29,24,22,18,21,25,26,18,24,23,16,25,24,24,19,20,27,27,24,24,26,16,25,31,18,16,29,26,26,20,18,19,18,17,16,29,29,21,21,24,26,18,31,31,25,29,25,28,25,22,22,30,20,31,24,29,22,25,31,21,30,17,21,17,19,23,16,19,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,25,31,27,28,26,29,26,18,16,18,22,29,16,31,28,23,29,26,23,18,16,22,16,23,20,25,20,30,18,27,28,16,19,24,16,16,24,26,26,18,28,29,24,28,17,24,16,23,19,23,16,24,23,19,28,20,24,19,16,17,18,31,20,18,18,23,24,23,22,27,18,16,18,29,25,25,27,17,28,26,18,30,16,29,24,17,30,29,30,17,17,21,31,19,28,28,18,29,29,22,17,18,19,20,27,22,21,25,23,27,21,31,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,18,27,30,26,30,27,21,27,30,20,21,23,17,18,20,16,19,21,31,31,23,17,30,25,18,20,20,21,30,26,27,30,16,16,19,16,28,16,23,19,24,31,24,21,20,23,19,18,26,22,17,16,16,16,25,28,31,29,23,28,20,28,25,17,31,18,24,22,29,22,24,19,18,18,28,27,25,18,24,18,19,25,25,30,28,29,28,29,17,29,18,21,28,24,19,20,21,24,16,29,26,22,18,16,16,29,21,18,20,30,17,28,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,23,21,26,25,16,16,19,19,24,29,29,30,27,22,16,19,19,28,16,23,30,23,31,31,31,30,24,30,28,23,23,27,28,28,28,23,20,29,31,18,19,29,16,17,19,19,31,26,29,30,28,30,21,31,19,28,22,22,22,20,28,19,19,27,16,26,18,23,18,19,29,26,22,21,17,30,24,26,31,30,24,24,17,30,31,17,27,26,21,31,22,23,22,16,30,26,22,30,25,22,22,20,23,23,23,16,31,18,17,25,20,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,30,16,19,19,27,31,27,28,29,31,23,26,29,17,31,19,24,23,16,22,20,23,25,31,31,31,25,31,30,18,17,23,24,18,19,24,22,29,23,22,21,24,24,23,28,21,31,26,27,24,31,20,19,16,18,21,21,18,25,31,26,20,27,23,31,20,28,30,20,27,27,31,16,23,31,27,31,25,28,29,29,21,30,18,29,24,17,20,19,17,25,22,19,24,25,26,28,17,16,27,22,19,19,26,17,23,20,16,20,31,31,30,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21,25,29,21,19,24,22,22,28,30,25,20,16,16,19,20,21,18,28,17,26,23,23,16,26,27,16,26,30,22,21,25,23,17,29,24,25,23,25,16,24,23,25,16,23,25,27,20,23,29,20,16,30,27,26,18,23,30,17,22,18,16,21,28,20,19,16,30,31,30,28,18,19,23,21,29,29,23,28,16,29,29,23,23,28,30,23,17,16,26,26,18,20,24,30,22,16,17,19,25,19,20,24,23,27,23,25,21,23,16,19,29,26,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,19,26,18,31,16,19,21,17,21,23,22,24,17,24,31,20,26,23,17,18,21,22,21,21,26,29,19,18,25,24,19,25,17,24,29,29,30,20,19,24,28,26,27,24,25,19,27,27,29,29,28,30,23,27,26,19,17,17,21,16,17,20,28,24,28,19,19,25,24,19,28,23,18,25,31,31,20,24,17,21,17,24,18,24,27,17,17,23,21,24,24,29,29,25,21,19,30,30,23,27,20,27,16,21,23,31,27,31,27,30,30,22,25,26,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,31,28,20,20,28,30,24,24,18,21,22,23,27,21,23,21,28,30,25,26,16,30,17,18,29,21,20,18,19,17,24,30,29,28,30,24,17,17,19,23,23,17,19,30,17,18,30,19,30,21,28,30,16,23,25,20,22,23,17,20,19,17,29,28,18,18,31,16,19,21,16,31,17,27,27,31,23,19,24,28,20,29,20,30,17,17,22,29,18,18,20,20,25,18,28,30,25,20,16,21,29,28,26,19,18,18,22,18,22,29,17,31,25,28,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,18,31,25,28,20,23,24,22,28,29,17,18,23,29,24,29,30,16,27,21,24,30,29,27,16,22,17,25,29,23,26,24,22,27,27,20,20,26,18,19,19,26,21,24,26,25,26,23,19,28,20,18,17,28,19,31,29,29,18,22,31,27,16,26,23,23,16,25,21,24,26,30,24,28,23,19,26,18,23,18,31,24,28,22,24,20,28,16,31,16,18,27,18,29,25,27,22,17,29,30,29,31,30,30,19,17,18,18,26,25,22,18,20,30,19,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,22,18,22,22,19,19,28,30,17,31,18,21,26,30,26,27,25,27,23,30,25,21,25,23,24,20,23,24,24,21,16,21,17,21,25,30,20,16,17,16,31,31,30,20,20,24,23,16,17,23,20,16,24,28,23,19,26,16,18,24,20,24,30,31,26,31,19,28,19,24,23,31,25,20,25,27,19,30,23,20,20,27,29,19,16,18,28,26,29,28,24,27,23,31,30,20,17,26,17,24,29,18,19,17,21,17,21,26,26,31,16,26,24,27,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,29,24,17,22,27,19,21,17,20,22,19,29,24,16,19,23,16,21,21,29,19,23,23,17,20,20,26,18,29,20,20,21,26,20,17,29,24,27,25,27,23,25,24,30,16,17,18,29,21,18,30,22,19,25,30,17,21,28,31,19,21,30,22,31,17,16,25,16,28,22,31,30,17,21,31,16,26,25,26,27,29,25,25,29,25,30,22,27,20,17,29,29,24,27,27,31,23,25,23,31,25,20,30,22,27,18,23,26,22,23,25,18,28,20,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,18,24,20,23,25,19,25,27,19,17,27,30,19,24,27,25,27,21,20,17,29,17,25,24,17,21,31,21,28,17,17,29,24,19,21,21,18,20,23,23,27,18,26,30,29,29,27,21,31,17,19,29,29,20,29,22,16,31,30,21,28,20,20,18,25,27,16,30,30,18,28,26,26,28,20,19,29,28,31,22,17,16,17,19,18,23,17,21,31,16,30,21,26,23,16,28,25,28,18,24,22,22,21,31,19,26,22,24,31,18,29,20,30,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
